[2016-03-10 09:27:43,692][MainThread:6780][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 11:04:47,411][MainThread:7732][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 11:06:08,872][MainThread:2372][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 11:07:39,424][MainThread:6092][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 11:08:15,477][MainThread:3228][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 11:08:36,026][MainThread:7320][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 11:10:10,767][MainThread:3752][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 11:10:18,840][MainThread:3752][task_id:__main__][main.py:78][INFO][wrong username a]
[2016-03-10 11:10:31,178][MainThread:3752][task_id:__main__][main.py:70][INFO][alex login success.]
[2016-03-10 14:12:37,625][MainThread:5592][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 14:13:14,341][MainThread:2488][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 14:13:17,700][MainThread:2488][task_id:__main__][main.py:102][INFO][alex login success.]
[2016-03-10 14:33:51,341][MainThread:1916][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 14:33:57,640][MainThread:1916][task_id:__main__][main.py:111][INFO][alex login success.]
[2016-03-10 14:34:25,264][MainThread:4780][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 14:34:27,946][MainThread:4780][task_id:__main__][main.py:111][INFO][alex login success.]
[2016-03-10 14:34:34,966][MainThread:4780][task_id:__main__][main.py:52][INFO][alex logout.]
[2016-03-10 15:28:16,748][MainThread:8064][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 15:28:21,246][MainThread:8064][task_id:__main__][main.py:113][INFO][alex login success.]
[2016-03-10 23:15:22,370][MainThread:5740][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 23:16:23,282][MainThread:6512][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 23:16:27,663][MainThread:6512][task_id:__main__][main.py:262][INFO][alex login success.]
[2016-03-10 23:17:59,781][MainThread:5560][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 23:18:04,954][MainThread:5560][task_id:__main__][main.py:262][INFO][alex login success.]
[2016-03-10 23:19:22,211][MainThread:5640][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 23:19:25,528][MainThread:5640][task_id:__main__][main.py:262][INFO][alex login success.]
[2016-03-10 23:21:18,626][MainThread:3124][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 23:21:30,660][MainThread:3124][task_id:__main__][main.py:261][INFO][alex login success.]
[2016-03-10 23:21:55,280][MainThread:3124][task_id:__main__][main.py:74][INFO][alex checkout the host of the group:db.]
[2016-03-10 23:21:55,281][MainThread:3124][task_id:__main__][main.py:74][INFO][alex checkout the host of the group:db.]
[2016-03-10 23:22:19,396][MainThread:3124][task_id:__main__][main.py:74][INFO][alex checkout the host of the group:tomcat.]
[2016-03-10 23:24:26,171][MainThread:6436][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 23:24:29,784][MainThread:6436][task_id:__main__][main.py:265][INFO][alex login success.]
[2016-03-10 23:24:36,261][MainThread:6436][task_id:__main__][main.py:74][INFO][alex checkout the host of the group:tomcat.]
[2016-03-10 23:26:50,232][MainThread:6408][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 23:26:55,022][MainThread:6408][task_id:__main__][main.py:265][INFO][alex login success.]
[2016-03-10 23:27:01,629][MainThread:6408][task_id:__main__][main.py:74][INFO][alex checkout the host of the group:tomcat.]
[2016-03-10 23:27:50,933][MainThread:5576][task_id:Mylogging][Mylogging.py:58][INFO][It works!]
[2016-03-10 23:27:54,062][MainThread:5576][task_id:__main__][main.py:265][INFO][alex login success.]
[2016-03-10 23:28:01,359][MainThread:5576][task_id:__main__][main.py:74][INFO][alex checkout the host of the group:tomcat.]
[2016-03-10 23:28:09,638][Thread-1:6044][task_id:paramiko.transport][transport.py:1545][DEBUG][starting thread (client mode): 0x32a3860]
[2016-03-10 23:28:09,639][Thread-1:6044][task_id:paramiko.transport][transport.py:1545][DEBUG][Local version/idstring: SSH-2.0-paramiko_1.16.0]
[2016-03-10 23:28:09,668][Thread-1:6044][task_id:paramiko.transport][transport.py:1545][DEBUG][Remote version/idstring: SSH-2.0-OpenSSH_6.6.1]
[2016-03-10 23:28:09,668][Thread-1:6044][task_id:paramiko.transport][transport.py:1545][INFO][Connected (version 2.0, client OpenSSH_6.6.1)]
